version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,job,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,cpu_busy_pct,cpu_busy_max,cpu_busy_min,cpu_steal_pct,load_1m,llama_rss_bytes,llama_rss_anon_bytes,llama_rss_peak_bytes,llama_major_faults,python_rss_bytes,python_rss_anon_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,weights_pinned,max_output_tokens,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule,os_mem_available_bytes,os_mem_total_bytes,os_mem_cached_bytes,os_swap_free_bytes,os_swap_total_bytes,os_mem_available_min_bytes
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,world-1xyn3xv19sd1rcp3,0f7d51f7614e5a1c32c3be7277ef4bb8f4973c71eb246a5894326d62e84f8fe8,https://theguardian.com/us-news/live/2026/sep/21/donald-trump-arch-media-white-house-press-ban-mamdani-ai-unga-latest-news-updates,world,guardian-world,summarize,failed,model_timed_out,,33662,5444,0,"the model server took the request and did not answer inside request_timeout_minutes, so the call was cut off mid-decode. It was serving; it was writing more tokens than the clock admits",255,303,1326129,,,,,,5444,0,work,True,29,chartable,,,,,,,,,,,,,,,1.195805,0.6,0.6,1.0,1.0,0.0,0.5958045098687879,0.0,0.0,1,False,False,2,article,2026-09-21T19:22:43Z,feed,2026-09-21T19:38:22Z,2026-09-21T22:02:25Z,10,20,7315898,14,147,81,0,0,,,,,,1326129,1326691,4,,,,,,,,,,,,,,AMD EPYC 9V74 80-Core Processor,99.43,99.99,98.73,0.0,6.07,12244271104,6558703616,12244729856,5,1368858624,612511744,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,,0.2,,,2886676480,16766410752,8112660480,3221139456,3221221376,2831544320
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,world-5n318j5w772s1s09,2d461448bc39c590e40963e28fdc4cf98c4fb1a4f5e195d897abaaeb222974f7,https://japantimes.co.jp/life/2026/09/22/language/gacha-chiikawa-vocabulary-plushie,world,japan-times,publish,ok,,,732,128,67,,1532,44,120047,76188,43827,5404,232,4731,128,0,work,True,3,unclassified,2,label,69467,11529,2643,63,2026,summarize_and_plan,6721,32298,2761,169,2705,,1.190962,0.6,0.6,1.0,1.0,0.0,0.5909615851620812,0.0,0.0,1,False,False,2,article,2026-09-21T19:10:00Z,feed,2026-09-21T19:38:23Z,2026-09-21T20:34:58Z,11,20,3272939,59,1000,462,0,0,81005,39026,,,520,32,122149,6,,76.66,97.97,0,2705,True,8.88,5.46,8.33,5.23,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.4,99.99,99.38,0.0,5.95,11098791936,5412077568,11151511552,0,1390370816,627634176,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,3938189312,16766410752,9295073280,3221139456,3221221376,3938189312
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,world-71p70xpf1gem8n8y,386c7076cf0c1d44551e5238a0481540f1a109f17c8af2e6c7250c6bec53e4a3,https://euronews.com/video/2026/09/21/humanoid-robots-battle-it-out-in-shanghai-fight-night,world,euronews,publish,ok,,,519,79,77,,923,78,130868,52716,78119,5164,410,4696,79,0,work,True,0,narrative,2,label,46171,44518,2438,233,2026,summarize_and_plan,6545,33601,2726,177,2670,,1.182939,0.5909774436090225,0.6,1.0,0.9849624060150376,0.0,0.5919612026404937,0.0,0.0,1,False,False,2,article,2026-09-21T19:12:38Z,feed,2026-09-21T19:38:25Z,2026-09-21T20:37:09Z,12,20,3392509,248,95,569,0,0,90698,40155,,,371,33,132245,5,,83.1,97.95,0,2670,True,8.92,5.23,8.56,5.27,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.63,99.98,99.35,0.0,4.89,11046113280,5359398912,11151511552,0,1390403584,627666944,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,4004171776,16766410752,9295425536,3221139456,3221221376,3938189312
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,world-fs3qb0zwzhpbwqe6,7e477583fcfc6cbe5dc6ef1ba2b4fe49e329784d8b003a3e3825ef8d9cf13c58,https://english.elpais.com/culture/2026-09-21/sally-field-the-actress-who-fought-abuse-and-escaped-her-demons-through-acting.html,world,elpais-en,publish,ok,,,10155,1812,131,,518,75,768692,527719,240817,13273,1088,8962,1812,0,work,True,38,chartable,2,label,520304,142809,6285,652,2026,summarize_and_plan,7415,98008,6988,436,6936,,1.163503,0.6,0.6,1.0,1.0,0.0,0.5635026430661474,0.0,0.0,1,False,False,2,article,2026-09-21T17:55:52Z,feed,2026-09-21T19:38:26Z,2026-09-21T21:40:19Z,13,20,6533657,9,51,448,0,0,663220,105440,24052,True,10358,156,779655,12,107,32.24,99.26,0,6936,True,8.19,4.57,7.01,4.45,stop,stop,False,AMD EPYC 9V74 80-Core Processor,98.85,99.99,98.85,0.0,5.19,11850125312,6163623936,11850125312,0,1373839360,612507648,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,,3208962048,16766410752,8294486016,3221139456,3221221376,3208962048
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,india-6rzmkt06grgvxjdg,363f49e8068621bec9b0f5fae9dd4ba2c54592ee24bca5975ebd7c74dd164dc6,https://economictimes.indiatimes.com/markets/us-stocks/wall-street-guide/amd-briefly-tops-1-trillion-market-cap-as-ai-push-fuels-record-rally-shares-up-9/articleshow/134393413.cms,india,economic-times,publish,ok,,,2124,330,59,,424,80,411045,149243,261754,7573,1264,6270,330,0,work,True,14,chartable,2,label,142436,198419,3278,967,2026,summarize_and_plan,6807,63335,4295,297,4244,,1.879582,0.6,0.6,1.0,1.0,0.0,0.5295821427622575,0.25,0.5,2,True,False,2,article,2026-09-21T16:19:08Z,feed,2026-09-21T19:38:26Z,2026-09-21T20:44:01Z,14,20,3522652,8,235,154,0,0,340865,70155,23031,True,956,48,412512,7,108,61.81,98.81,0,4244,True,8.79,4.87,7.49,4.69,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.63,99.99,99.37,0.0,5.69,11098693632,5412200448,11151511552,0,1353142272,591732736,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,,4014800896,16766410752,9257435136,3221139456,3221221376,3976613888
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,india-dyvgsv2d9bschc76,6fb70cec4d4af2c8b0e64d1d763f448f329392fb69e1d48997a67dbbff308b48,https://indiatoday.in/india/story/google-india-child-sexual-abuse-material-direct-reporting-law-enforcement-2999863-2026-09-21,india,india-today,publish,ok,,,2638,388,79,,254,76,337289,109119,227992,6867,1129,5909,388,0,work,True,2,unclassified,2,label,101987,192479,2928,956,2026,summarize_and_plan,7132,35513,3939,173,3883,,1.646145,0.6,0.6,1.0,1.0,0.0,0.5461447936085585,0.0,0.5,1,True,False,2,article,2026-09-21T17:07:07Z,feed,2026-09-21T19:38:27Z,2026-09-21T20:49:40Z,15,20,3934330,22,28,186,0,0,294616,42655,,,955,178,338580,6,,69.19,98.58,0,3883,True,8.84,4.97,7.85,4.87,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.59,99.99,99.08,0.0,5.69,11405246464,5718753280,11442352128,0,1353162752,591753216,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,3690807296,16766410752,8980987904,3221139456,3221221376,3659505664
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,india-gj3wwknejhqeddqg,8487ce4eae946ee6b6f0df069939caa003b33087b605200a8a19be55cde3d201,https://deccanchronicle.com/southern-states/telangana/microsoft-launches-hyderabad-cloud-region-its-fourth-in-india-1989238,india,deccan-chronicle,publish,ok,,,1313,215,93,,2189,43,364568,103376,261149,6611,1285,5702,215,0,work,True,9,chartable,2,label,96861,159663,2884,793,2026,summarize_and_plan,6515,101486,3727,492,3676,,1.495886,0.6,0.6,1.0,1.0,0.0,0.3958862492438173,0.0,0.5,1,True,False,2,article,2026-09-21T08:45:47Z,feed,2026-09-21T19:38:27Z,2026-09-21T20:55:45Z,16,20,4270347,513,462,1203,0,0,256533,108012,43730,True,593,43,367400,7,212,70.25,98.63,0,3676,True,8.86,4.97,7.83,4.85,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.59,99.99,98.73,0.0,4.55,11413360640,5726859264,11442352128,0,1377439744,616030208,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,3672985600,16766410752,8981712896,3221139456,3221221376,3648573440
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,india-w1srbj2eqvhkc3p6,e07385c84ebee3360ec60b70285c47e0a0185bf9446502234984bbafde0f14de,https://thehindu.com/entertainment/paramount-warner-bros-merger-lawsuit-settlement-state-deal/article71493016.ece,india,thehindu-all,publish,ok,,,2082,330,64,,478,44,335267,122924,212297,6698,1058,5621,330,0,work,True,7,unclassified,2,label,116486,106638,3052,544,2026,summarize_and_plan,6438,105659,3646,514,3595,,1.423788,0.6,0.6,1.0,1.0,0.0,0.5737881033554808,0.25,0.0,2,False,False,2,article,2026-09-21T18:24:03Z,feed,2026-09-21T19:38:29Z,2026-09-21T21:01:21Z,17,20,4634992,32,158,280,0,0,223133,112110,55091,True,881,46,336676,6,268,66.38,98.6,0,3595,True,8.81,5.1,7.92,4.86,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.45,99.99,99.0,0.0,5.51,11442073600,5755572224,11442352128,0,1353080832,591671296,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,3680407552,16766410752,8982208512,3221139456,3221221376,3664650240
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,india-s06j959phfy4wc4j,c80d2495368bfc4e309298569f11a52b165c4536dbdfdef5ab2a0863e2e81e2a,https://deccanchronicle.com/southern-states/telangana/banks-urge-customers-to-finish-essential-work-before-nationwide-strike-1989471,india,deccan-chronicle,publish,ok,,,2022,296,85,,996,46,256989,98389,158557,6020,810,5154,296,0,work,True,5,chartable,2,label,91897,55517,2841,288,2026,summarize_and_plan,6492,103040,3179,522,3128,,1.197931,0.6,0.6,1.0,1.0,0.0,0.5979305535556825,0.0,0.0,1,False,False,2,article,2026-09-21T19:28:16Z,feed,2026-09-21T19:38:30Z,2026-09-21T21:05:39Z,18,20,4970104,479,438,0,0,0,147423,109542,46190,True,760,43,258797,6,234,71.31,98.4,0,3128,True,8.87,5.19,7.86,5.07,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.45,99.88,98.95,0.0,5.62,11437174784,5750673408,11448033280,0,1397665792,636256256,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,3633766400,16766410752,8982573056,3221139456,3221221376,3633766400
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,india-03epqp28wrg9gbqx,00dd6bd848e620982efd6338ced18db4065a6e9fbff760ff7f4751060dfa5ed3,https://hindustantimes.com/india-news/two-workers-killed-in-fire-at-tyre-oil-factory-in-up-101790016612494.html,india,hindustan-times,publish,ok,,,2008,344,77,,749,54,326079,115947,210096,6885,1040,5869,344,0,work,True,6,unclassified,2,label,109004,173346,2986,858,2026,summarize_and_plan,6943,36750,3899,182,3843,,1.183493,0.6,0.6,1.0,1.0,0.0,0.5834930965444768,0.0,0.0,1,False,False,2,article,2026-09-21T18:50:11Z,feed,2026-09-21T19:38:31Z,2026-09-21T21:11:06Z,19,20,5227056,141,209,281,0,0,282360,43703,,,957,36,327845,6,,67.85,98.56,0,3843,True,8.81,4.95,8.07,4.95,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.65,99.99,99.37,0.0,5.99,11443892224,5757390848,11448033280,0,1353330688,591921152,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,3665211392,16766410752,8835272704,3221139456,3221221376,3403636736
