version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,job,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,cpu_busy_pct,cpu_busy_max,cpu_busy_min,cpu_steal_pct,load_1m,llama_rss_bytes,llama_rss_anon_bytes,llama_rss_peak_bytes,llama_major_faults,python_rss_bytes,python_rss_anon_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,weights_pinned,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule,os_mem_available_bytes,os_mem_total_bytes,os_mem_cached_bytes,os_swap_free_bytes,os_swap_total_bytes,os_mem_available_min_bytes
2026-09-22,2026-09-25,2026-09-25-36192763223,ai-04f6md3j8hkxf204,011e6a34724467d788041a51b11ca31f70a1930a881c6659e4e2b032bf1e56d4,https://arstechnica.com/tech-policy/2026/09/court-rules-trump-can-blacklist-anthropic-for-refusing-to-enable-claude-features,ai,ars-technica-ai,publish,ok,,,2296,343,62,,1252,53,448558,302900,145606,6293,800,3473,343,2,work,True,1,unclassified,2,label,297588,126706,2777,697,0,summarize_and_plan,5312,18900,3516,103,3473,,1.693947,0.5955555555555555,0.6,1.0,0.9925925925925926,0.0,0.5983912352412153,0.0,0.5,1,True,False,2,article,2026-09-25T21:36:20Z,feed,2026-09-25T21:45:02Z,2026-09-25T21:52:55Z,0,20,21401,406,238,371,0,0,424317,24220,,,775,52,450753,115,,0.0,98.78,0,3473,False,9.33,5.5,8.09,5.45,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.08,99.99,96.87,0.0,5.89,10323918848,4636987392,10323918848,0,1004097536,426262528,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,4957765632,16766418944,9716658176,3221221376,3221221376,4957765632
2026-09-22,2026-09-25,2026-09-25-36192763223,ai-t3g5px313vef0dsf,d0e05b74611edcf0372f73385471625a13dfda8a40d526d0498f8f7b8e5fefe8,https://fastcompany.com/91613459/anthropic-supply-chain-risk-lawsuit-pentagon?partner=rss,ai,fastcompany-tech,publish,ok,,,1909,296,58,,1150,74,391057,296614,94410,5925,523,3156,296,2,work,True,1,unclassified,2,label,291379,77694,2726,431,0,summarize_and_plan,5235,16716,3199,92,3156,,1.630943,0.6,0.6,1.0,1.0,0.0,0.5309434388976494,0.0,0.5,1,True,False,2,article,2026-09-25T18:30:00Z,feed,2026-09-25T21:45:04Z,2026-09-25T21:59:26Z,1,20,469624,95,675,295,0,0,369082,21959,,,681,33,392985,23,,0.0,98.66,0,3156,False,9.36,5.55,8.21,5.5,stop,stop,False,AMD EPYC 7763 64-Core Processor,97.9,99.98,96.86,0.0,4.56,10274557952,4587626496,10323918848,0,1010675712,432840704,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,4975210496,16766418944,9717972992,3221221376,3221221376,4957765632
2026-09-22,2026-09-25,2026-09-25-36192763223,ai-fqwcw3dfwcpybv14,7df8ce0dafe32de5ec24a81a9202afe00e19f26046aad797668ef5928c137f68,https://bleepingcomputer.com/news/artificial-intelligence/anthropic-rolls-out-up-to-250-in-free-claude-code-credits-but-only-for-cloud-sessions,ai,bleepingcomputer,publish,ok,,,2033,327,55,,1159,29,474169,318517,155611,6487,838,3527,327,2,work,True,6,chartable,2,label,313178,112080,2917,611,0,summarize_and_plan,5339,43531,3570,227,3527,,1.582213,0.6,0.6,1.0,1.0,0.0,0.4822125807589591,0.0,0.5,1,True,False,2,article,2026-09-25T16:00:00Z,feed,2026-09-25T21:45:05Z,2026-09-25T22:07:21Z,2,20,860197,55,801,240,0,0,425266,48880,22820,True,709,41,476089,23,119,0.0,98.8,0,3527,False,9.31,5.45,8.05,5.21,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.08,99.99,96.88,0.0,5.79,10326794240,4639862784,10326794240,0,1014427648,436396032,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,True,0.2,,,4909944832,16766418944,9718714368,3221221376,3221221376,4909944832
2026-09-22,2026-09-25,2026-09-25-36192763223,ai-qnp73dhj6dzpbptg,bd6c71b632337f65db50210351c857dc9e54f066e02399c5f600c558b883baf6,https://databricks.com/blog/data-dialogue-how-sp-global-energy-made-its-structured-data-estate-conversational-databricks,ai,databricks-blog,publish,ok,,,11318,1692,96,,318,119,428231,358660,69409,10181,352,7163,1692,2,work,True,2,unclassified,2,label,352804,41283,4964,210,1990,summarize_and_plan,5856,28126,5217,142,5173,,1.482213,1.0,1.0,1.0,1.0,0.0,0.4822125807589591,0.0,0.0,1,False,False,1,article,2026-09-25T16:00:00Z,feed,2026-09-25T21:45:06Z,2026-09-25T23:40:46Z,3,20,6500000,44,86,153,0,0,394209,33996,,,10804,162,439508,36,,40.09,99.16,0,5173,True,8.43,5.09,7.51,5.05,stop,stop,False,AMD EPYC 7763 64-Core Processor,96.71,99.99,96.71,0.0,4.08,12456034304,6770077696,12456034304,0,1040338944,462520320,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,2760454144,16766418944,7719632896,3221200896,3221221376,2751963136
2026-09-22,2026-09-25,2026-09-25-36192763223,energy-j8fked4gfyfw1gsv,921f3734907f9fc0c33b280661e5346811cab032151b61af6ba881477d47937a,https://balkangreenenergynews.com/nala-renewables-launches-wind-park-in-romania-under-virtual-ppa-with-apple,energy,balkangreen,publish,ok,,,2297,374,55,,4687,44,647383,347230,300105,7625,1566,4431,374,2,work,True,9,chartable,2,label,341639,244058,3151,1281,0,summarize_and_plan,5591,56047,4474,285,4431,,1.583985,0.6,0.6,1.0,1.0,0.0,0.48398505553327575,0.0,0.5,1,True,False,2,article,2026-09-25T16:05:43Z,feed,2026-09-25T21:45:07Z,2026-09-25T22:18:10Z,4,20,1329927,1395,481,1642,0,0,585706,61652,32448,True,878,48,653015,23,165,0.0,99.04,0,4431,False,9.22,5.25,7.69,5.09,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.46,99.99,96.82,0.0,5.29,10274017280,4587085824,10326794240,0,1017647104,439549952,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,True,0.2,,value_error,4961320960,16766418944,9720463360,3221221376,3221221376,4909944832
2026-09-22,2026-09-25,2026-09-25-36192763223,energy-s28vjhmw5sfz5w82,c891b9469c2e5ff2f1024416b6a28b80d3ddb908796106c090f7f7a554991299,https://latitudemedia.com/news/what-chinas-clean-power-advantage-means-for-the-ai-race,energy,latitude-media,publish,ok,,,7179,1150,106,,772,36,543198,262439,280627,9687,1428,7439,1150,2,work,True,8,unclassified,2,label,256514,246399,4194,1256,1990,summarize_and_plan,5925,34228,5493,172,5449,,1.129084,0.6,0.6,1.0,1.0,0.0,0.5290838758221786,0.0,0.0,1,False,False,2,article,2026-09-25T18:24:32Z,feed,2026-09-25T21:45:11Z,2026-09-25T23:49:54Z,5,20,6933528,224,125,320,0,0,503011,40165,,,5254,132,549301,41,,47.45,99.2,0,5449,True,8.59,5.1,7.43,5.03,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.32,99.99,97.0,0.0,5.26,12813086720,7127105536,12813086720,0,1037115392,459296768,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,2444992512,16766418944,7484907520,3221200896,3221221376,2398478336
2026-09-22,2026-09-25,2026-09-25-36192763223,business-economy-h8xm9xxabfyxxtcq,8a3b44f7aa5bfddee9976283e0ffa152cae79bf9782155b9cf084c5261a511c5,https://channelnewsasia.com/business/exclusive-openai-works-understand-full-scope-agent-activity-user-data-leak-emerges-6411996,business-economy,cna-business,publish,ok,,,6684,1073,128,,774,138,611396,237082,374190,9746,1911,7709,1073,2,work,True,8,unclassified,2,label,230859,339116,3983,1737,1990,summarize_and_plan,6223,35074,5763,174,5719,,1.676378,0.6,0.6,1.0,1.0,0.0,0.5763778801820904,0.0,0.5,1,True,False,2,article,2026-09-25T20:37:56Z,feed,2026-09-25T21:45:12Z,2026-09-26T00:00:11Z,6,20,7481107,96,168,339,0,0,570067,41308,,,5815,124,618164,41,,49.96,99.24,0,5719,True,8.63,5.12,7.07,4.96,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.52,99.99,97.04,0.0,5.35,13175164928,7489347584,13175238656,0,1036677120,459071488,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,2072096768,16766418944,7070564352,3221200896,3221221376,2068799488
2026-09-22,2026-09-25,2026-09-25-36192763223,business-economy-dhfvwnbby9e69q2y,6c5fbe556bf25c64dc5e1903c0659b7056dcb5774a179d9c150bc40ea27c8be2,https://aljazeera.com/sports/2026/9/25/mbappe-goal-overshadowed-by-knee-injury-to-mar-zidane-debut-france-win?traffic_source=rss,business-economy,aljazeera-economy,fetch,failed,robots_denied,,0,0,,robots.txt disallows this path,542,0,,,,,,,,2,work,,,,,,,,,,,,,,,,,,1.197004,0.6,0.6,1.0,1.0,0.0,0.5970038678876713,0.0,0.0,1,False,False,2,article,2026-09-25T21:32:43Z,feed,2026-09-25T21:45:13Z,2026-09-25T21:45:14Z,7,20,,,,541,,,,,,,,,543,1,,,,,,,,,,,,,,AMD EPYC 7763 64-Core Processor,,,,,,,,,,,,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,,0.2,,,,,,,,
2026-09-22,2026-09-25,2026-09-25-36192763223,business-economy-b673s4w3dw09863k,598e3c93836f009418730bc3f841976059d9a59eb1c6ded1d8658e2cc58b09ce,https://semafor.com/article/09/25/2026/xis-visit-to-washington-wraps-with-little-changed,business-economy,semafor,publish,ok,,,985,163,61,,518,27,414702,271686,142943,5748,789,3199,163,2,work,True,0,narrative,2,label,266438,125557,2506,694,0,summarize_and_plan,5248,17386,3242,95,3199,,1.164752,0.6,0.6,1.0,1.0,0.0,0.5647517443610031,0.0,0.0,1,False,False,2,article,2026-09-25T20:06:11Z,feed,2026-09-25T21:45:14Z,2026-09-25T22:25:05Z,8,20,1975396,91,57,278,0,0,392041,22642,,,427,73,415697,23,,0.0,98.67,0,3199,False,9.41,5.53,8.19,5.46,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.16,99.99,96.81,0.0,5.79,10535440384,4848508928,10567331840,0,1036505088,458407936,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,4684558336,16766418944,9720832000,3221221376,3221221376,4666269696
2026-09-22,2026-09-25,2026-09-25-36192763223,world-wp8m9tj2cx7kbtnj,e59144ea42674f35eab285ea925581d9cf3eb51cd6849c39806e682ea44ec8f9,https://newsus.cgtn.com/news/2026-09-25/Chinese-Americans-express-support-for-President-Xi-s-visit-to-US-1QIwdyEUbhS/p.html,world,cgtn-china,publish,ok,,,420,69,63,,1333,74,93072,49894,43147,4969,245,4527,69,2,work,True,0,narrative,2,label,44814,26238,2389,149,1990,summarize_and_plan,5080,16909,2580,96,2537,,1.257727,1.0,1.0,1.0,1.0,0.0,0.25772672231705523,0.0,0.0,1,False,False,1,article,2026-09-24T23:43:52Z,feed,2026-09-25T21:45:14Z,2026-09-25T22:26:38Z,9,20,2389140,288,70,831,0,0,71060,21995,,,250,31,94750,21,,83.3,98.33,0,2537,True,8.9,5.68,8.46,5.68,stop,stop,False,AMD EPYC 7763 64-Core Processor,98.59,99.87,97.33,0.0,5.79,10520031232,4833099776,10567331840,0,1036509184,458412032,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,4701380608,16766418944,9721020416,3221221376,3221221376,4682412032
