version,date,payload_bytes,payload_digest,validator_version
2026-09-08,2026-09-09,190564,27e8b9e2cef19099089fa856ba66f15bb4a423bcd70acdafccbe8bcfa542c10f,21361fea621d301a3848e75efaaeba3eee31c39048aac1e898a48aa0c63fbd61
2026-09-08,2026-09-09,370400,bcf19c684f65abf23ede681dd23a98f0a6eb1bb0177d14fc863dedde90cc5bd1,21361fea621d301a3848e75efaaeba3eee31c39048aac1e898a48aa0c63fbd61
2026-09-08,2026-09-09,562924,733aabfd8f5c3fde0d9838114dfa42a6c69136666dd9822334cae2558a978c08,21361fea621d301a3848e75efaaeba3eee31c39048aac1e898a48aa0c63fbd61
2026-09-08,2026-09-09,745466,9361c3d694523825db617e97fc02d397e8432245e8b0ca3bc17dfa50e6a7ed4b,21361fea621d301a3848e75efaaeba3eee31c39048aac1e898a48aa0c63fbd61
2026-09-08,2026-09-09,932992,752de7b609786b0a460c962e250f98bf2a67af44004e73c10bd58fb04eec6bd6,980d3148e8a2b7f10653979a123c942a8ea79038b1f656836755b53c70dfd1c5
2026-09-08,2026-09-09,932992,67e689ce90175cfc4c5419c4fddab62d17321b6abd9833743f98b739f3e77341,5aec4876dcaeda73d94521d1906f683a705f273ac00ab87c4a0d18459986c16e
