version,date,run_id,item_id,url_key,source_url,title,vertical,model_id,attempt,hhem,hhem_full,hhem_delta,truncation_flagged,compression,extractiveness,verbatim_run,unsupported_numbers,hedge_dropped,extraction_suspect,band,source_word_count,source_seen_word_count,summary_word_count,pipeline_fingerprint,output_digest,determinism_violation,scorer_version,scored_at,score_ms,evidential_density,speculative_density,self_repetition,source_digest,coherence,semantic_coverage
2026-09-24,2026-09-25,2026-09-25-36132006504,energy-bw4he434zcnf6n15,5f09171064fb2af35425026fb7f0c62081768ea2e3ed7051f5e7bba9003fe01b,https://pv-magazine.com/2026/09/25/inclusive-leadership-turning-diverse-perspectives-into-innovation-and-impact,Inclusive leadership: turning diverse perspectives into innovation and impact,energy,qwen3-5-9b-q4-k-m,1,0.9478254914283752,0.9478254914283752,0.0,False,0.08573853989813243,0.030612244897959183,0.04950495049504951,0,False,False,high,1168,1168,101,,ab26e6547e165e22c723e9d4a0b85ace8cc85fb2a8bada96d89de7af4b5b393e,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T13:02:08Z,5630,0.0,0.001697792869269949,0.0,2c2a64e58d2e1a5cbaee2bd2cdff195e8f856dd3f16069cc95b9f71e357a15c3,0.40453872335344815,0.6
2026-09-24,2026-09-25,2026-09-25-36132006504,energy-ezmhgeq3phz0yx8k,77e9183ae3b47e0f7513acc27ccf3b6969af7821eee566c500d1c50b2ac15876,https://pv-magazine.com/2026/09/25/the-hydrogen-stream-germany-austria-and-luxembourg-launch-e2-12-billion-program-for-sustainable-aviation-fuel,"The Hydrogen Stream: Germany, Austria and Luxembourg launch ?2.12 billion program for sustainable aviation fuel",energy,qwen3-5-9b-q4-k-m,1,0.9566681981086731,0.9566681981086731,0.0,False,0.09605488850771869,0.24528301886792453,0.125,0,False,False,high,577,577,56,,b9b69c1c44806accbc1780b1c3500640f085b89db66ecf1ad28d40591dec420f,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T12:23:52Z,1036,0.0,0.005145797598627788,0.0,f3552e5362fb4c777366662cdc62dc1a62b3d885761914abad0bc86bfa23d72f,0.32238395088750466,0.35
2026-09-24,2026-09-25,2026-09-25-36132006504,energy-rqbrccmxvw1yk9gc,c5d786329ddf03e9a60cfc73659e03ce4c584d33e7e287d6165dbc3c347974a1,https://energy-storage.news/us-roundup-bess-portfolio-deals-investment-and-partnerships-for-energy-vault-smt-energy-neovolta-and-sk-on,"US ROUNDUP: BESS portfolio deals, investment and partnerships for Energy Vault, SMT Energy, NeoVolta and SK On",energy,qwen3-5-9b-q4-k-m,1,0.9373735189437866,0.9373735189437866,0.0,False,0.09988901220865705,0.12643678160919541,0.08888888888888889,0,False,False,high,886,886,90,,883c7cc2a09508364aa8bb924b413ae6502ac7f5a3e1f5efd8f37cf8a594ddc3,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T13:27:33Z,3246,0.0022197558268590455,0.003329633740288568,0.0,5f56685311d77add47ba5f09af8b3390b0185bfe2775c231869ccbb162fe3f00,0.35655948854811736,0.8
2026-09-24,2026-09-25,2026-09-25-36132006504,business-economy-w2yphknrhwaqnr7c,e0bd68ceb88f157ae0ec3ce1f516dbc7492ad6cec470027592bf73f0cec3acd6,https://businesstoday.in/latest/corporate/story/govt-seeks-receives-tata-groups-reassurance-that-semiconductor-projects-will-continue-as-planned-amid-boardroom-tussle-557870-2026-09-25,"Govt seeks, receives Tata Group's reassurance that semiconductor projects will continue as planned amid boardroom tussle",business-economy,qwen3-5-9b-q4-k-m,1,0.9333464503288269,0.9333464503288269,0.0,False,0.6086956521739131,0.5641025641025641,0.42857142857142855,0,False,False,high,68,68,42,,304aff78bf56dfabb50e45f2ca262838230ce12dbad350568c7599ac147b2baa,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T12:07:55Z,218,0.028985507246376812,0.014492753623188406,0.0,1a0470951248ff979a2b2c78911c3407e67726b2a7069ac7cac30104cc9e9b11,0.41267758157379525,0.65
2026-09-24,2026-09-25,2026-09-25-36132006504,business-economy-0gchhzaf4y51mq4t,041918fd4f278a1a5c9a01c075b6d765fc4d4887bc21cd4aa64bde4c922441b5,https://channelnewsasia.com/business/first-us-trial-against-tiktok-test-claims-platform-fueled-teen-mental-health-crisis-6410691,First US trial against TikTok to test claims platform fueled teen mental health crisis,business-economy,qwen3-5-9b-q4-k-m,1,0.9664938449859619,0.9664938449859619,0.0,False,0.10301953818827708,0.34545454545454546,0.1896551724137931,0,False,False,high,561,561,58,,2050582fe211b3b0e368653b36d584f65c947410e215a81bc23930c4c7eb244d,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T12:30:25Z,955,0.012433392539964476,0.003552397868561279,0.0,0cd163001b0257e86fcd7190d6491a8445b65fc53435f65b343afab1290d5fec,0.4221239166694176,0.5
2026-09-24,2026-09-25,2026-09-25-36132006504,business-economy-whdxabf44f37x4rt,e45bd52de423c67e931a94a8458cb5b529b0ca7e2232a1f3657e9c3d4927e5bc,https://qz.com/tesla-semi-truck-factory-nevada-sparks-092526,"Tesla opened a Nevada factory targeting 50,000 electric big rigs a year",business-economy,qwen3-5-9b-q4-k-m,1,0.9180014133453369,0.9180014133453369,0.0,False,0.11727078891257996,0.11538461538461539,0.14545454545454545,0,True,False,medium,469,469,55,,ba4451e8217bb3370f5f2fe6853a63bd8addf6bb41cef225e00654342aebe8df,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T12:42:03Z,1133,0.014925373134328358,0.008528784648187633,0.0,5913b2b7fc0c936226ec2b28f5d88a1899924ff556bb154d7d4da342c29c3a8b,0.18649364800707788,0.45
2026-09-24,2026-09-25,2026-09-25-36132006504,business-economy-sjfy0yf1smtg2djz,cc9fe079e1cd3501365f1980b199ffc1ea96bcb695ec80fbbaeebf32fd4ea3ae,https://qz.com/us-justice-department-x-musk-eu-fine-dsa-092526,The U.S. is joining Elon Musk's legal battle against the E.U.'s $137M X fine,business-economy,qwen3-5-9b-q4-k-m,1,0.7821961641311646,0.7821961641311646,0.0,False,0.9534883720930233,0.7105263157894737,0.43902439024390244,0,False,False,medium,43,43,41,,8311338af24f8487b81eade00f248be6f78e9afa409a4eb39cbbc28f118d9714,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T12:05:52Z,211,0.0,0.0,0.0,37d57c3ee7823fbbb8a05ace681ee5246f5cdbb2d5cd7a42495f5297273cd738,0.15357912695292816,1.0
2026-09-24,2026-09-25,2026-09-25-36132006504,business-economy-st2chbfqv124hn0e,ce84c8adf7d84448d40e291667c06239dc27ec5234b332a522e7ef4b00e2c1ea,https://voxdev.org/topic/public-economics/how-bureaucratic-incentives-drive-fight-against-air-pollution,How bureaucratic incentives drive the fight against air pollution,business-economy,qwen3-5-9b-q4-k-m,1,0.850994348526001,0.850994348526001,0.0,False,0.05330243337195829,0.07865168539325842,0.05434782608695652,0,False,False,high,1715,1715,92,,29b1c0847946200920653062b00c93d29944b9021b2d6ca496664622c3365f4c,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T13:50:28Z,8648,0.0,0.004634994206257242,0.0,9e16439dcde14b976d7a429631eb98a951874b45598f492e5a70d8c92bcf468a,0.43758242520123003,0.65
2026-09-24,2026-09-25,2026-09-25-36132006504,business-economy-m8hjvs8zwed6r2cc,a2232de51fe39a6c098c0e2e661d45363388761979b3c1af9059c66c1d66d298,https://channelnewsasia.com/business/openai-preview-gpt-6-cyber-within-days-fortune-reports-6409596,"OpenAI to preview GPT-6 Cyber within days, Fortune reports",business-economy,qwen3-5-9b-q4-k-m,1,0.9413829445838928,0.9413829445838928,0.0,False,0.295,0.23214285714285715,0.1864406779661017,0,False,False,high,206,206,59,,8652bfc853861c6e759a1c8f6c54142f93c67eb339ad250c20442328b57a73a4,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T12:33:07Z,307,0.0,0.01,0.0,0261690d20afc0e4a4ad7c10a5673985f444e72c18dcc775f375df7a28350987,0.1762149157963608,0.45
2026-09-24,2026-09-25,2026-09-25-36132006504,business-economy-1tnzhy6t7b73f2hr,0eabf8f8da3ace378a38f6670f25a8c9f2b58504a50b925ae6bcddfc2eaf26ea,https://theguardian.com/money/2026/sep/25/people-in-the-shetlands-or-the-outer-hebrides-how-are-you-coping-with-the-diesel-prices,People in the Shetlands or the Outer Hebrides: how are you coping with the diesel prices?,business-economy,qwen3-5-9b-q4-k-m,1,0.9806270003318787,0.9806270003318787,0.0,False,0.6761904761904762,0.38235294117647056,0.19718309859154928,0,True,False,medium,102,102,71,,001b0e95da026efbb8572923d3b3f88cc912e959cd23e052f0da1235236070cf,False,hhem-2.1-open@8e4a2e6e;weights-841b70e0;metrics-4;window=900/150/anchored;bands=0.80/0.50,2026-09-25T12:47:16Z,320,0.0,0.009523809523809525,0.0,cd3a2964b8b5f6882f24b45b2f276b13651265ebabf042d996db1e23b2e18792,0.1806535157581568,0.7
