date,run_id,item_id,vertical,source_id,stage,outcome,code,source_words,summary_words,source_words_before_cap,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens
2026-09-01,2026-09-01-33484160918,business-economy-5442572702,business-economy,nber-new,publish,ok,,180,57,180,589,26,66221,31583,34574,1229,193,922,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-4973207051,business-economy,marginal-revolution,publish,ok,,61,44,61,480,13,37039,13366,23623,1051,133,922,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-5781151383,business-economy,marginal-revolution,publish,ok,,456,56,456,393,25,95634,64471,31152,1552,171,922,,,,,,,
2026-09-01,2026-09-01-33484160918,business-economy-0313664687,business-economy,yahoo-finance,publish,ok,,411,62,411,421,117,109166,66964,42190,1578,231,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-2260259753,world,japan-times,publish,ok,,124,62,124,1303,49,57855,21240,36605,1128,207,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-5470957018,world,guardian-world,publish,ok,,900,128,900,203,42,195052,134403,60548,2234,322,923,,,,,,,
2026-09-01,2026-09-01-33484160918,world-4558283948,world,abc-au-world,publish,ok,,782,132,782,605,75,165600,108064,57466,1979,302,923,,,,,,,
2026-09-01,2026-09-01-33484160918,world-7445935297,world,bbc-world,publish,ok,,364,132,364,765,57,116348,54458,61878,1454,349,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-4314344915,world,africanews,publish,ok,,150,46,150,716,31,53945,25597,28337,1174,160,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-5108368128,world,euronews,publish,ok,,1059,130,1059,537,71,213993,151068,62822,2394,314,923,,,,,,,
2026-09-01,2026-09-01-33484160918,world-2089465139,world,thehindu-intl,publish,ok,,114,77,114,238,59,70026,22437,47580,1140,261,922,,,,,,,
2026-09-01,2026-09-01-33484160918,world-2195619828,world,lemonde-en,publish,ok,too_short,35,36,35,895,6,127631,103966,23657,1019,133,0,,,,,,,
2026-09-01,2026-09-01-33484160918,world-2144355515,world,global-voices,publish,ok,,783,127,783,1842,45,177483,120696,56697,2099,305,923,,,,,,,
2026-09-01,2026-09-01-33484160918,india-2307758506,india,thehindu-all,publish,ok,,300,63,300,110,40,94577,51240,43327,1421,227,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-9096463370,india,toi-india,publish,ok,,173,59,173,442,111,63665,29552,34105,1210,190,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-9153364187,india,thehindu-business,publish,ok,,91,53,91,231,34,58249,21885,36356,1136,199,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-2809588450,india,toi-top,publish,ok,,566,61,566,48,70,123984,83738,40234,1737,213,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-5430855842,india,toi-top,publish,ok,,416,84,416,75,68,108189,60970,47166,1516,249,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-8897508343,india,deccan-chronicle,publish,ok,,280,71,280,2339,43,117806,68053,49743,1585,264,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-6563528201,india,livemint-markets,extract,failed,paywalled,,,,,,,,,,,,,,,,,,
2026-09-01,2026-09-01-33484160918,india-6861167316,india,the-federal,publish,ok,,445,65,445,551,82,102248,63909,38327,1547,208,922,,,,,,,
2026-09-01,2026-09-01-33484160918,india-7321978740,india,thehindu-biz,publish,ok,,420,74,420,93,43,134339,78787,55541,1692,295,922,,,,,,,
