version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,runner_name,cpu_busy_pct,cpu_busy_max,cpu_busy_min,load_1m,llama_rss_bytes,llama_rss_peak_bytes,python_rss_bytes,cgroup_peak_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,max_output_tokens,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule
2026-08-30,2026-09-07,2026-09-07-34095143140,ai-5299136908,e0f75446731d598ce3aa65499f449c5b7555321e70d85cabfdb7b6f4f8659ba0,https://openai.com/index/an-alien-mind,ai,openai-news,fetch,failed,http_client_error,403,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,ai-1044476155,acc07ab115bbbcfbe133060dd1dc69daf93dfa1ff61ee408bb6301f845f90d0b,https://marktechpost.com/2026/09/06/meta-fair-introduces-ai-research-preference-models-rpms-ranking-ml-experiments-before-spending-gpu-hours,ai,marktechpost,extract,failed,no_text,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,energy-3197326816,fa6c4332fa8739e07703c7c1d81f03793dd29bbacac83a809e3f4247767ebc8a,https://oilprice.com/Latest-Energy-News/World-News/South-Korea-Eyes-223-Billion-Texas-Gas-Plant-to-Power-AI-Data-Centers.html,energy,oilprice,publish,ok,,,1887,317,86,,793,42,104597,34376,70209,1381,255,0,317,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,business-economy-5216846402,b50d84b8e53a4a42b21a7d7b0e14f5c179eedda23a0648411f3cfc41ed0279f0,https://businesstoday.in/technology/artificial-intelligence/story/no-one-is-prepared-for-the-consequences-openai-chief-scientist-calls-for-extreme-caution-over-ais-rapid-progress-553585-2026-09-07,business-economy,business-today-in,publish,ok,,,747,115,58,,553,86,51494,5584,45902,1128,168,922,115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,business-economy-9683604907,307decdaa28dddab9d08b8a928ac3c34450ec2af82d7a5d1dde2744377671952,https://nber.org/papers/w35670,business-economy,nber-new,fetch,failed,http_client_error,403,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,business-economy-4514365095,131a4ac4a26f6ea7586afc8678b2d039437e187ff7c61889466500f0416eddf1,https://aljazeera.com/video/newsfeed/2026/9/6/amazon-prime-plane-overruns-runway-at-miami-airport?traffic_source=rss,business-economy,aljazeera-economy,fetch,failed,robots_denied,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,world-8308686616,c497afa0da43c318450dcde32a99af3a3dfb76e188f0a0b2b843b40370af8cf5,https://apnews.com/article/washington-state-washington-football-score-cbc5ac761a6c074254168fa7fb7d24d8,world,apnews-world,publish,ok,,,4298,747,130,,236,214,139458,50117,89265,2043,318,0,747,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,world-2039112450,70eed455e24da302cdf9a8c7b7bd104d86072a76cf10443f7ceefde628972811,https://japantimes.co.jp/news/2026/09/07/world/amazon-plane-crash-miami,world,japan-times,publish,ok,,,683,112,52,,1596,39,47461,4905,42548,1118,155,922,112,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,world-0316798841,8e620af56d157379ea262d2b9b44fc3d16cb8ec59388f4e818b3d90aecd56ca7,https://france24.com/en/americas/20260906-amazon-cargo-plane-crashes-miami-airport-killing-at-least-five,world,france24,publish,ok,,,3787,604,98,,986,43,83735,21360,62362,1765,223,922,604,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-30,2026-09-07,2026-09-07-34095143140,world-2594090018,1d1ff31e3e1544222a3a39bc723cd9a67bf9a824462be927f1a6c95490cd5613,https://abc.net.au/news/2026-09-07/candian-sailor-rescued-indian-ocean-christmas-island/107125458,world,abc-au-world,publish,ok,,,492,76,54,,532,57,46713,4091,42515,1069,155,922,76,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
