version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,span_integrity,elements_found,element_class,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens,call_2_kind,call_2_prefill_ms,call_2_decode_ms,call_2_input_tokens,call_2_output_tokens,call_2_cached_tokens
2026-08-30,2026-09-08,2026-09-08-34198561963,ai-5264943847,7b7117a264190ae797f0175563e64afff5d146ae18fc62b7edd62ede15f9c750,https://bbc.co.uk/news/articles/cjw54ww73qjo?at_campaign=rss&at_medium=RSS,ai,bbc-tech,publish,ok,,,6500,1085,120,,385,142,132435,63497,68847,2321,262,0,1085,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,energy-8894119097,b54e2d62369444b9ff60ffd3d45e62e11fcd612cd3947d7f193c18138d12e0fa,https://solarquarter.com/2026/09/08/inox-wind-clarifies-100-mw-turnkey-order-was-received-from-terra-clean-an-iocl-subsidiary,energy,solar-quarter,publish,ok,,,890,142,74,,8948,69,88996,30987,57999,1179,230,0,142,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,business-economy-3493391581,2d023d0060cb08ddb9ae91e600517ed99e05042a93b63255635b2167861fb9a0,https://businesstoday.in/technology/artificial-intelligence/story/openai-says-chatgpt-can-now-mimic-your-writing-style-from-emails-and-messages-heres-how-553866-2026-09-08,business-economy,business-today-in,publish,ok,,,618,98,66,,507,73,52266,5407,46850,1110,184,922,98,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,business-economy-2677777725,a422f0c7e021413dfdfeb8a55874374d2a461d0bdf213b36d2205fd01d2150be,https://aljazeera.com/news/2026/9/8/canadas-retaliatory-tariffs-on-20bn-of-us-goods-take-effect?traffic_source=rss,business-economy,aljazeera-economy,fetch,failed,robots_denied,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,business-economy-0758204961,f23708fea9a01e214be44162c30ca90f194a2c1867b2d2bd33f9f52a83931b0c,https://semafor.com/article/09/07/2026/canadas-retaliatory-tariffs-against-the-us-to-take-effect,business-economy,semafor,publish,ok,,,730,114,73,,671,19,56551,6708,49834,1120,190,922,114,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,business-economy-2211865216,14e972d34e717280ebf30989402aca4aedaaf56ed42d7809bea8ebce889fc335,https://marginalrevolution.com/marginalrevolution/2026/09/ed-elson-and-scott-galloway-interview-me-on-ai.html,business-economy,marginal-revolution,extract,failed,no_text,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,world-5642307055,26193448eae6b9efaf8767a312b3bff2c0c5ced13b4026787c0b02f5f278d541,https://apnews.com/article/china-huawei-trial-trade-secrets-ed66f29aa8539941aa8fad311d511cc2,world,apnews-world,publish,ok,,,2790,434,105,,300,174,83423,17469,65943,1530,249,922,434,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,world-8893379703,060931de133f4c77477986c81f2e350058571ca1980c2523ef7823dd69652f51,https://france24.com/en/americas/20260908-canada-s-counter-tariffs-take-effect-on-several-us-goods-as-trade-war-reignites,world,france24,publish,ok,,,5279,845,107,,625,43,103543,32075,71331,2105,267,923,845,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,world-6610629692,ecf6a2ffc401d83cd4a7aac4990017ef2ed183dc9b0c18909a5d95f39de7db39,https://channelnewsasia.com/asia/indonesia-free-meal-kitchen-suspend-sanitation-rule-breach-6369136,world,cna-world,publish,ok,,,1629,246,83,,934,82,70565,11084,59472,1304,225,922,246,2,,,,,,,,,,,,,,,,
2026-08-30,2026-09-08,2026-09-08-34198561963,world-1089251152,c68bcc43643f335015c57b44d1f6d21b9e28c3b8e6cd9a0cfa8282681dab5134,https://thehindu.com/news/international/eu-warns-of-chilling-new-terror-menace-25-years-after-911-as-online-youths-seek-violent-thrills/article71441414.ece,world,thehindu-intl,publish,ok,,,5188,839,136,,825,37,115950,32696,83139,2104,307,923,839,2,,,,,,,,,,,,,,,,
