version,date,payload_bytes,payload_digest,validator_version
2026-09-08,2026-09-17,192437,4ded86018b5aacc4b2c3e9e3ff589818d0a8736a7ef87f9e0fc2c00dc6c2b2f2,2d78e4348161db199a68f72c7aca971a41b5e0ae3dd21651afc951bf2d045e36
2026-09-08,2026-09-17,364896,3e6bb7aaec34eb08771c0fb89fa2dd4d829c3b0e6c9cb2b3b2d0a887c3c4bdc6,2d78e4348161db199a68f72c7aca971a41b5e0ae3dd21651afc951bf2d045e36
2026-09-08,2026-09-17,547976,b9b587e71ee25f3623b81139ba615c8c8eb8475305d839553bf87722db66b17e,2d78e4348161db199a68f72c7aca971a41b5e0ae3dd21651afc951bf2d045e36
2026-09-08,2026-09-17,732041,dcf7dc6869697d5060acd2cb20bd6bb4c251974f6f33cdf37266f7f5d498d159,55ed35decc916be5da359b30f687b906c831bcd9092dd637c56f994813f05c9d
