version,date,payload_bytes,payload_digest,validator_version
2026-09-08,2026-09-10,177455,a8f6f3b513031c6c85b1cefc3018f356b41cb63edf5ff91d2ee37abeec140f79,980d3148e8a2b7f10653979a123c942a8ea79038b1f656836755b53c70dfd1c5
2026-09-08,2026-09-10,365042,004b39d1481bc4f580bdfc440a50fc63818d3616a3793403bc702ef03d26fc30,980d3148e8a2b7f10653979a123c942a8ea79038b1f656836755b53c70dfd1c5
2026-09-08,2026-09-10,548906,56a8167d150c18f04efc7f9e8821cbb41005c6109bdf2070245e720502a55b49,980d3148e8a2b7f10653979a123c942a8ea79038b1f656836755b53c70dfd1c5
2026-09-08,2026-09-10,724137,52deb797bef0d01631e16d81b2f24f937e0a92719f90284fdfe842936543e020,980d3148e8a2b7f10653979a123c942a8ea79038b1f656836755b53c70dfd1c5
2026-09-08,2026-09-10,904651,8a0a5b0cb170d2a20546c76db126476cae9b312386243328df2f1fdd3c783e45,980d3148e8a2b7f10653979a123c942a8ea79038b1f656836755b53c70dfd1c5
2026-09-08,2026-09-10,904651,156dd2a3a3ec8ed8abea499804f6d85bee4be10289d7b2fb54c27588d597cf1d,5aec4876dcaeda73d94521d1906f683a705f273ac00ab87c4a0d18459986c16e
