version,date,run_id,job,shard,fingerprint,cpu_model,cpu_vendor,cpu_family,cpu_model_number,cpu_stepping,microcode,cores,threads,l3_cache_bytes,mhz_max,mhz_at_probe,flags,boot_seconds,memcpy_gib_s,memcpy_probe_mib,vm_size,vm_location,vm_zone,vm_fault_domain,runner_name,measured_at,model_load_ms,job_seconds
2026-09-18,2026-09-19,2026-09-19-35447179103,work,1,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.3642499999996,avx2 f16c fma sse4_2,699.21,41.785672261214756,512,Standard_D4ads_v5,eastus,,0,GitHub Actions 1000034337,2026-09-19T14:00:06Z,,
2026-09-18,2026-09-19,2026-09-19-35447179103,work,1,,,,,,,,,,,,,,,,,,,,,,,4292.421,10055
