version,date,run_id,shard,items,read_tokens,read_ms,cached_tokens,written_tokens,write_ms,longest_sequence,n_ctx_configured,cpu_model,cpu_busy_pct,llama_rss_peak_bytes,python_rss_bytes,cgroup_peak_bytes,model_load_ms,job_seconds,server_prompt_tokens,server_prompt_seconds
2026-09-19,2026-08-30,2026-08-30-1,0,24,28273,2912496,18455,5933,1114223,5189,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-1,1,23,32424,3330361,16497,6059,1098932,6189,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-1,2,25,32215,3300963,19384,6671,1235245,5884,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-1,3,25,30136,3073328,19369,6440,1135976,4282,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-2,0,23,27655,2843712,16600,5944,1089101,6264,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-2,1,24,21736,2192561,19366,5688,1023988,3719,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-2,2,25,29844,3032163,19366,6203,1107757,6456,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-2,3,21,26997,2761443,15681,5445,996789,5790,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-3,0,22,21232,2168556,18448,5767,1061485,3461,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-3,1,23,21157,2135984,19370,6140,1098311,2819,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-3,2,21,22995,2322630,15688,5569,994813,4295,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-3,3,22,27059,2799097,16620,5066,1060864,5194,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-4,0,21,22807,2110765,15716,5199,1282773,4748,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-4,1,19,15385,362228,15678,4460,1143909,3016,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-4,2,20,19324,1814445,15677,4584,1154215,2678,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-4,3,21,18863,1925806,16602,5108,908827,2802,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-5,0,16,12454,298094,12943,3788,999540,2884,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-5,1,19,15195,1562307,14759,4428,776092,2988,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-5,2,19,16841,1712901,15693,4973,872265,3354,,,,,,,,,,
2026-09-19,2026-08-30,2026-08-30-5,3,18,18190,442539,12909,4169,1124225,4473,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33374118069,0,30,29044,738679,24905,7510,2037319,3650,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33374118069,1,27,25071,2566948,22153,6336,1126022,4034,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33374118069,2,28,35584,3649973,22142,7343,1362659,4416,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33374118069,3,26,23530,2389243,21210,6465,1217865,2945,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33399830093,0,34,36720,2541663,27419,8506,1440230,4656,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33399830093,1,34,40077,3293619,28594,8775,2143595,4537,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33399830093,2,34,40950,4187140,26764,8912,1639480,6117,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33399830093,3,35,43622,3048486,27676,8954,1646410,6065,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33420639886,0,34,41015,4182830,27683,8272,1582093,6367,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33420639886,1,30,38712,3935350,23055,6837,1229924,5606,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33420639886,2,32,32985,3351427,25824,7844,1467618,6389,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33420639886,3,31,29817,3049627,25825,7693,1442916,3734,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33434587836,0,31,30586,3112501,24900,7300,1289982,6390,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33434587836,1,29,28883,2939747,23070,7068,1337274,6032,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33434587836,2,31,35512,3597207,24902,7956,1466968,4646,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33434587836,3,27,31519,3220364,21214,6864,1244991,6381,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33448379177,0,27,29576,1304275,21222,6655,896005,4582,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33448379177,1,29,31277,3171064,23056,7171,1343306,4735,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33448379177,2,27,25606,2621009,22146,6885,1322860,3280,,,,,,,,,,
2026-09-19,2026-08-31,2026-08-31-33448379177,3,25,19404,1960683,20289,5522,993233,3250,,,,,,,,,,
