version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,span_integrity,elements_found,element_class,model_calls,call_1_kind,call_1_prefill_ms,call_1_decode_ms,call_1_input_tokens,call_1_output_tokens,call_1_cached_tokens,call_2_kind,call_2_prefill_ms,call_2_decode_ms,call_2_input_tokens,call_2_output_tokens,call_2_cached_tokens
2026-08-30,2026-08-30,2026-08-30-1,ai-7223856286,544f8c752c07c09e94a124b7ae41a4d6b8694bacdf036a8a57c4ad2627932d3b,https://the-decoder.com/google-gives-ai-agents-their-own-wiki-so-they-can-learn-from-mistakes-and-successes,ai,the-decoder,extract,failed,paywalled,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,ai-4957940743,0a6f07cbdcc6e8075a731c300de391c5187f3af41e05e83e3fdcbbad5c65939d,https://techcrunch.com/2026/08/29/were-not-doing-30-bets-a-year-vijay-pande-on-betting-small-after-running-4-billion-at-a16z,ai,techcrunch-ai,publish,ok,,,10417,1861,102,,371,55,389265,336817,52359,3283,229,0,1861,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,energy-2036977399,addac40ca2f38af7f0aa978c5b3906429cf1a8f90f4d825e6b833fe0f7dcd297,https://electrek.co/2026/08/29/robot-delivery-dog-dumps-hot-steaming-packages-on-your-doorstep-video,energy,electrek,publish,ok,,,3892,646,77,,514,37,226041,184669,41328,1810,228,0,646,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,energy-5075715182,6dd1cdce09a93c6e620ac31c57ff62a44fc37adc60b3431db4e105229f23a4cb,https://insideclimatenews.org/news/29082026/pennsylvania-pays-millions-to-coal-waste-companies,energy,inside-climate-news,publish,ok,,,18311,2947,167,,409,53,577784,495436,82169,4785,404,0,2947,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,business-economy-8904882533,ccad6197b4860d65908330247ba0a8edac657cef2249acae826ebbacbb6653e5,https://channelnewsasia.com/commentary/nvidia-hugging-face-ai-openai-chips-6347461,business-economy,cna-business,publish,ok,,,4506,747,117,,715,109,160236,103562,56610,1928,303,923,747,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,business-economy-7542087686,704b998d45d27806a8fd485f67880f2947a8c4363438f173c9bf124d56ccc53a,https://aljazeera.com/opinions/2026/8/30/the-toxic-waste-of-the-gaza-war-has-reached-israel?traffic_source=rss,business-economy,aljazeera-economy,publish,ok,,,5608,822,123,,462,33,162833,109907,52868,1991,283,923,822,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,business-economy-5409443814,724039985e13efe6442c82fcfd4489c145d8f7f81e1399fe24a278e29148b957,https://seekingalpha.com/news/4638048-trending-stocks-this-week-as-big-tech-reports-quarterly-numbers?feed_item_type=news,business-economy,seekingalpha,fetch,failed,http_client_error,403,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,business-economy-4950988149,3dadbee8efe4d175ea0aa6ddbe374cba6e9a06c103198b9075e0c7b72c290ad3,https://nakedcapitalism.com/2026/08/how-the-us-is-driving-the-rise-of-the-businessmen-politician.html,business-economy,naked-capitalism,publish,ok,,,14489,2111,128,,1456,33,357322,303447,53743,3836,275,924,2111,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,world-8689358619,c16807de66f35b1b8d05cafe849c7503b06c8e9cabe87262aa1605158b7997ff,https://bbc.co.uk/news/articles/c9qr750je1go?at_campaign=rss&at_medium=RSS,world,bbc-world,publish,ok,,,2086,354,91,,465,55,95771,53348,42376,1443,239,922,354,0,,,,,,,,,,,,,,,,
2026-08-30,2026-08-30,2026-08-30-1,world-5095187049,636c687419a26e693417a6cbfa9ca938d68847dbdd9b010883f7787a6ae0bee8,https://scmp.com/news/china/diplomacy/article/3365643/23000-bronzes-14-years-60-volumes-how-china-mapping-lost-heritage-held-abroad,world,scmp-news,extract,failed,paywalled,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
