version,pipeline_fingerprint,first_seen_run,first_seen_at,model_sha256,quantisation,runtime_build,chat_template_sha256,prompt_sha256,output_schema_sha256,truncation_cap_tokens,sampling,runtime_flags,n_ctx,n_batch,n_ubatch,n_threads,runner_class,extractor_version,sanitizer_version,host_cpu
2026-08-26,f0d4ecc740eb6b0aebcaa546122f3037533e6904c4ef309f39b66890ba9ad669,2026-08-26-5,2026-08-26T20:11:41Z,d98cdcbd03e17ce47681435b5150e34c1417f50b5c0019dd560e4882c5745785,Q4_K_M,b10598,57f1fd00f0013a2be96aa79b857391f27e23df5b5f847072b524c897e24d0361,654d2db8a58bc9e17ffa975032cb18c532687f7b6422fe52583c2b3ae658d107,885c6d7bce395b8c97b59cff6fe3b717654d9abeda609f4b3f4f8a90c6866411,2500,temperature=0.0000;top_p=1.0000;seed=0;max_output_tokens=900;thinking=off,cache_type_k=runtime-default;cache_type_v=runtime-default;flash_attention=runtime-default;n_parallel=1;n_threads_batch=runtime-default,8192,512,512,4,github-hosted/linux/x64,trafilatura-2.2.0-idhazh-1,idhazh-sanitizer-1,AMD EPYC 9V74 80-Core Processor
2026-08-26,6a23e2777036fd1d41163b8f51680f2826fa47a7aede634a4e18baef07a0eb87,2026-08-27-1,2026-08-27T12:59:14Z,03b74727a860a56338e042c4420bb3f04b2fec5734175f4cb9fa853daf52b7e8,Q4_K_M,b10598,7f0e529032c25183bcd66c7f238da2d377f43be754a94e2725a58c4e16d2ed67,654d2db8a58bc9e17ffa975032cb18c532687f7b6422fe52583c2b3ae658d107,885c6d7bce395b8c97b59cff6fe3b717654d9abeda609f4b3f4f8a90c6866411,2500,temperature=0.0000;top_p=1.0000;seed=0;max_output_tokens=900;thinking=off,cache_type_k=runtime-default;cache_type_v=runtime-default;flash_attention=runtime-default;n_parallel=1;n_threads_batch=runtime-default,8192,512,512,4,github-hosted/linux/x64,trafilatura-2.2.0-idhazh-1,idhazh-sanitizer-1,AMD EPYC 9V74 80-Core Processor
