version,date,run_id,job,shard,fingerprint,cpu_model,cpu_vendor,cpu_family,cpu_model_number,cpu_stepping,microcode,cores,threads,l3_cache_bytes,mhz_max,mhz_at_probe,flags,boot_seconds,memcpy_gib_s,memcpy_probe_mib,vm_size,vm_location,vm_zone,vm_fault_domain,runner_name,measured_at,model_load_ms,job_seconds,server_prompt_tokens,server_prompt_seconds
2026-09-19,2026-09-20,2026-09-20-35497768799,plan,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.4407499999998,avx2 f16c fma sse4_2,222.05,44.43515848378511,512,Standard_D4ads_v5,eastus,,0,GitHub Actions 1000034887,2026-09-20T07:48:40Z,,,,
2026-09-19,2026-09-20,2026-09-20-35497768799,work,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.014,avx2 f16c fma sse4_2,193.2,43.203507226164284,512,Standard_D4ads_v5,westus,,0,GitHub Actions 1000034890,2026-09-20T07:51:31Z,4147.213,8470,30980,3245.15
2026-09-19,2026-09-20,2026-09-20-35497768799,work,1,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.0905,avx2 f16c fma sse4_2,191.84,42.18888953062544,512,Standard_D4ads_v5,westus2,,0,GitHub Actions 1000034891,2026-09-20T07:51:30Z,4229.806,7865,31550,3290.33
2026-09-19,2026-09-20,2026-09-20-35497768799,work,2,9d0459022d60f8b3,AMD EPYC 9V74 80-Core Processor,AuthenticAMD,25,17,1,0xffffffff,2,4,33554432,,2664.9865,avx2 f16c fma sse4_2,2276.62,29.678648204273085,512,Standard_D4ads_v5,centralus,,0,GitHub Actions 1000034889,2026-09-20T07:51:12Z,4172.245,8906,34059,3509.21
2026-09-19,2026-09-20,2026-09-20-35497768799,work,3,c1a1f16d14243659,AMD EPYC 9V74 80-Core Processor,AuthenticAMD,25,17,1,0xffffffff,2,4,33554432,,2870.58925,avx2 avx512_bf16 avx512_vnni avx512f f16c fma sse4_2,199.37,37.63532439501354,512,Standard_D4ads_v6,westcentralus,,0,GitHub Actions 1000034888,2026-09-20T07:51:45Z,3360.962,8247,39157,2787.81
2026-09-19,2026-09-20,2026-09-20-35507975228,plan,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.0845,avx2 f16c fma sse4_2,156.12,39.84017555812225,512,Standard_D4ads_v5,westus,,0,GitHub Actions 1000034937,2026-09-20T11:31:38Z,,,,
2026-09-19,2026-09-20,2026-09-20-35507975228,work,0,c1a1f16d14243659,AMD EPYC 9V74 80-Core Processor,AuthenticAMD,25,17,1,0xffffffff,2,4,33554432,,3420.0455,avx2 avx512_bf16 avx512_vnni avx512f f16c fma sse4_2,183.33,37.63070035960454,512,Standard_D4ads_v6,eastus,,0,GitHub Actions 1000034941,2026-09-20T11:34:31Z,3406.354,8878,41913,3001.04
2026-09-19,2026-09-20,2026-09-20-35507975228,work,1,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2775.95925,avx2 f16c fma sse4_2,157.23,40.99109583221595,512,Standard_D4ads_v5,northcentralus,,0,GitHub Actions 1000034939,2026-09-20T11:33:58Z,4238.847,8213,33019,3462.45
2026-09-19,2026-09-20,2026-09-20-35507975228,work,2,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.32825,avx2 f16c fma sse4_2,160.28,40.58331864896544,512,Standard_D4ads_v5,eastus2,,0,GitHub Actions 1000034940,2026-09-20T11:34:00Z,4143.806,9210,33924,3552.38
2026-09-19,2026-09-20,2026-09-20-35507975228,work,3,8c1a99a591bdcdad,AMD EPYC 9V45 96-Core Processor,AuthenticAMD,26,2,1,0xffffffff,2,4,33554432,,3079.5375000000004,avx2 avx512_bf16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,198.3,48.56610281256,512,Standard_D4ads_v7,WestUS3,,0,GitHub Actions 1000034938,2026-09-20T11:34:42Z,2597.853,6350,42260,1976.21
2026-09-19,2026-09-20,2026-09-20-35515848728,plan,0,7b85fba03e3e11e3,Intel(R) Xeon(R) 6973P-C,GenuineIntel,6,173,1,0xffffffff,2,4,503316480,,3000.01,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,177.0,26.082887137721823,512,Standard_D4ds_v7,centralus,,0,GitHub Actions 1000035005,2026-09-20T14:16:22Z,,,,
2026-09-19,2026-09-20,2026-09-20-35515848728,work,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.02675,avx2 f16c fma sse4_2,543.01,42.17604788491174,512,Standard_D4ads_v5,westcentralus,,0,GitHub Actions 1000035009,2026-09-20T14:19:05Z,4052.657,9170,37286,3873.63
2026-09-19,2026-09-20,2026-09-20-35515848728,work,1,292dc3d1d7ea24e0,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2625.08075,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,244.32,26.421770672394423,512,Standard_D4ds_v6,centralus,,0,GitHub Actions 1000035006,2026-09-20T14:19:10Z,3200.341,10296,41975,1052.91
2026-09-19,2026-09-20,2026-09-20-35515848728,work,2,c1a1f16d14243659,AMD EPYC 9V74 80-Core Processor,AuthenticAMD,25,17,1,0xffffffff,2,4,33554432,,3143.6565,avx2 avx512_bf16 avx512_vnni avx512f f16c fma sse4_2,255.52,37.588044355704305,512,Standard_D4ads_v6,WestUS3,,0,GitHub Actions 1000035008,2026-09-20T14:19:20Z,3419.749,9123,48343,3459.72
2026-09-19,2026-09-20,2026-09-20-35515848728,work,3,9d0459022d60f8b3,AMD EPYC 9V74 80-Core Processor,AuthenticAMD,25,17,1,0xffffffff,2,4,33554432,,2733.4922500000002,avx2 f16c fma sse4_2,178.28,34.88917540658297,512,Standard_D4ads_v5,centralus,,0,GitHub Actions 1000035007,2026-09-20T14:18:59Z,4257.058,9458,39291,4067.63
2026-09-19,2026-09-20,2026-09-20-35526075781,plan,0,7b85fba03e3e11e3,Intel(R) Xeon(R) 6973P-C,GenuineIntel,6,173,1,0xffffffff,2,4,503316480,,3000.0519999999997,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,191.21,22.993154064295847,512,Standard_D4ds_v7,centralus,,0,GitHub Actions 1000035180,2026-09-20T17:32:57Z,,,,
2026-09-19,2026-09-20,2026-09-20-35526075781,work,0,d01b91c416a1a1e2,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2500.1085000000003,avx2 avx512_vnni avx512f f16c fma sse4_2,344.62,23.469590264153673,512,Standard_D4ds_v5,westcentralus,,0,GitHub Actions 1000035185,2026-09-20T17:36:06Z,4667.967,10704,32556,2809.41
2026-09-19,2026-09-20,2026-09-20-35526075781,work,1,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2843.7219999999998,avx2 f16c fma sse4_2,192.31,43.068681454060176,512,Standard_D4ads_v5,westus2,,0,GitHub Actions 1000035184,2026-09-20T17:35:46Z,4072.745,9340,36252,3808.42
2026-09-19,2026-09-20,2026-09-20-35526075781,work,2,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.0384999999997,avx2 f16c fma sse4_2,163.66,41.32617002030523,512,Standard_D4ads_v5,eastus2,,0,GitHub Actions 1000035183,2026-09-20T17:35:20Z,4109.971,8328,32866,3435.61
2026-09-19,2026-09-20,2026-09-20-35526075781,work,3,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.994,avx2 f16c fma sse4_2,177.19,36.41961662525176,512,Standard_D4ads_v5,WestUS3,,0,GitHub Actions 1000035182,2026-09-20T17:35:33Z,4196.981,10891,45861,4731.42
2026-09-20,2026-09-20,2026-09-20-35537015073,plan,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2707.7115,avx2 f16c fma sse4_2,126.08,42.31772307291807,512,Standard_D4ads_v5,eastus,,0,GitHub Actions 1000035347,2026-09-20T20:55:59Z,,,,
2026-09-20,2026-09-20,2026-09-20-35537015073,work,0,292dc3d1d7ea24e0,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,3593.4625,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,193.46,23.375166701619424,520,Standard_D4ds_v6,centralus,,0,GitHub Actions 1000035356,2026-09-20T20:58:58Z,3232.099,8795,38312,983.418
2026-09-20,2026-09-20,2026-09-20-35537015073,work,1,292dc3d1d7ea24e0,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2624.92825,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,191.88,24.56502758564105,520,Standard_D4ds_v6,centralus,,0,GitHub Actions 1000035353,2026-09-20T20:58:58Z,3176.154,7780,28995,737.586
2026-09-20,2026-09-20,2026-09-20-35537015073,work,2,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.5074999999997,avx2 f16c fma sse4_2,175.44,43.85708309877473,512,Standard_D4ads_v5,eastus,,0,GitHub Actions 1000035355,2026-09-20T20:58:29Z,4080.486,8471,36535,3789.59
2026-09-20,2026-09-20,2026-09-20-35537015073,work,3,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2692.467,avx2 f16c fma sse4_2,186.32,41.23440128369284,512,Standard_D4ads_v5,WestUS3,,0,GitHub Actions 1000035354,2026-09-20T20:58:38Z,4253.796,6547,23495,2459.47
