version,date,run_id,job,shard,fingerprint,cpu_model,cpu_vendor,cpu_family,cpu_model_number,cpu_stepping,microcode,cores,threads,l3_cache_bytes,mhz_max,mhz_at_probe,flags,boot_seconds,memcpy_gib_s,memcpy_probe_mib,vm_size,vm_location,vm_zone,vm_fault_domain,runner_name,measured_at
2026-09-17,2026-09-18,2026-09-18-35319453535,plan,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.0962499999996,avx2 f16c fma sse4_2,259.42,42.59081639775286,512,Standard_D4ads_v5,westcentralus,,0,GitHub Actions 1000033204,2026-09-18T07:30:40Z
2026-09-17,2026-09-18,2026-09-18-35319453535,work,3,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2848.266,avx2 f16c fma sse4_2,192.05,34.331937236566375,512,Standard_D4ads_v5,eastus,,0,GitHub Actions 1000033206,2026-09-18T07:33:36Z
2026-09-17,2026-09-18,2026-09-18-35319453535,work,1,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.4595,avx2 f16c fma sse4_2,1989.61,35.22181926913536,512,Standard_D4ads_v5,northcentralus,,0,GitHub Actions 1000033207,2026-09-18T07:33:27Z
2026-09-17,2026-09-18,2026-09-18-35319453535,work,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.4095,avx2 f16c fma sse4_2,173.86,40.70250074129667,512,Standard_D4ads_v5,westus,,0,GitHub Actions 1000033205,2026-09-18T07:33:01Z
2026-09-17,2026-09-18,2026-09-18-35319453535,work,2,c1a1f16d14243659,AMD EPYC 9V74 80-Core Processor,AuthenticAMD,25,17,1,0xffffffff,2,4,33554432,,3149.964,avx2 avx512_bf16 avx512_vnni avx512f f16c fma sse4_2,1812.47,34.55139317599816,512,Standard_D4ads_v6,eastus,,0,GitHub Actions 1000033208,2026-09-18T07:33:39Z
2026-09-17,2026-09-18,2026-09-18-35339202390,plan,0,1a5cef038ebd6b8d,Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz,GenuineIntel,6,106,6,0xffffffff,2,4,50331648,,3145.663,avx2 avx512_vnni avx512f f16c fma sse4_2,224.41,25.01929300231997,512,Standard_D4ds_v5,WestUS3,,0,GitHub Actions 1000033225,2026-09-18T11:23:27Z
2026-09-17,2026-09-18,2026-09-18-35339202390,work,2,292dc3d1d7ea24e0,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2624.83775,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,228.74,23.562131526542256,512,Standard_D4ds_v6,WestUS3,,0,GitHub Actions 1000033226,2026-09-18T11:26:55Z
2026-09-17,2026-09-18,2026-09-18-35339202390,work,1,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.1945,avx2 f16c fma sse4_2,164.25,41.07569186149029,512,Standard_D4ads_v5,eastus,,0,GitHub Actions 1000033227,2026-09-18T11:25:53Z
2026-09-17,2026-09-18,2026-09-18-35339202390,work,0,d01b91c416a1a1e2,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2500.24125,avx2 avx512_vnni avx512f f16c fma sse4_2,226.59,21.960239010855776,512,Standard_D4ds_v5,westcentralus,,0,GitHub Actions 1000033229,2026-09-18T11:26:59Z
2026-09-17,2026-09-18,2026-09-18-35339202390,work,3,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2716.22525,avx2 f16c fma sse4_2,350.41,39.21331963533043,512,Standard_D4ads_v5,eastus2,,0,GitHub Actions 1000033228,2026-09-18T11:27:58Z
2026-09-17,2026-09-18,2026-09-18-35356796551,plan,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2844.7484999999997,avx2 f16c fma sse4_2,225.47,39.37378979733361,512,Standard_D4ads_v5,westus,,0,GitHub Actions 1000033253,2026-09-18T14:42:52Z
2026-09-17,2026-09-18,2026-09-18-35356796551,work,3,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2790.9495,avx2 f16c fma sse4_2,253.43,41.843087584710524,512,Standard_D4ads_v5,eastus2,,0,GitHub Actions 1000033260,2026-09-18T14:45:51Z
